,date,airport_code,airport_name,latitude,longitude,wind_speed
204,2013-12-30,HOU,William P Hobby Airport,29.64539909,-95.27890015,4.7
205,2013-02-06,CHS,Charleston International Airport,32.898602,-80.040497,2.2
206,2013-02-08,LAX,Los Angeles International Airport,33.942501,-118.407997,6.0
207,2013-02-07,TYS,McGhee Tyson Airport,35.81100082,-83.9940033,1.6
208,2013-02-09,SAV,Savannah Hilton Head International Airport,32.12760162,-81.20210266,2.4
209,2013-02-10,SEA,Seattle Tacoma International Airport,47.449001,-122.308998,1.9
210,2013-02-10,OKC,Will Rogers World Airport,35.39310073852539,-97.60070037841797,6.1
211,2013-02-12,GSP,Greenville Spartanburg International Airport,34.895699,-82.218903,1.6
212,2013-02-12,CLE,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,4.8
213,2013-02-13,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,4.5
214,2013-02-20,IAH,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,7.0
215,2013-03-01,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,3.3
216,2013-03-04,IAD,Washington Dulles International Airport,38.9445,-77.455803,5.7
217,2013-03-05,SNA,John Wayne Airport-Orange County Airport,33.675701,-117.867996,2.0
218,2013-03-06,CAK,Akron Canton Regional Airport,40.916099548339844,-81.44219970703125,4.7
219,2013-03-09,SAN,San Diego International Airport,32.7336006165,-117.190002441,4.1
220,2013-03-13,SRQ,Sarasota Bradenton International Airport,27.39539909362793,-82.55439758300781,4.4
221,2013-03-15,GSP,Greenville Spartanburg International Airport,34.895699,-82.218903,3.7
222,2013-03-19,SNA,John Wayne Airport-Orange County Airport,33.675701,-117.867996,1.6
223,2013-03-27,PWM,Portland International Jetport,43.646198,-70.309303,4.4
224,2013-03-27,EGE,Eagle County Regional Airport,39.64260101,-106.9179993,2.4
225,2013-03-30,DAY,James M Cox Dayton International Airport,39.902400970458984,-84.21939849853516,2.6
226,2013-03-31,DTW,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,4.3
227,2013-04-01,FLL,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,3.7
228,2013-04-02,BUR,Bob Hope Airport,34.197703,-118.356378,2.0
229,2013-04-03,PDX,Portland International Airport,45.58869934,-122.5979996,1.0
230,2013-04-10,SRQ,Sarasota Bradenton International Airport,27.39539909362793,-82.55439758300781,3.5
231,2013-04-12,RSW,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,4.8
232,2013-04-19,ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,5.5
233,2013-04-21,JAX,Jacksonville International Airport,30.49410057067871,-81.68789672851562,5.8
