date,airport_code,airport_name,latitude,longitude,wind_speed
2013-12-26,SYR,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,4.3
2013-12-27,LGA,La Guardia Airport,40.777199,-73.872597,5.2
2013-04-21,LGA,La Guardia Airport,40.777199,-73.872597,4.4
2013-08-17,LGA,La Guardia Airport,40.777199,-73.872597,2.6
2013-09-16,LGA,La Guardia Airport,40.777199,-73.872597,4.2
2013-09-11,TYS,McGhee Tyson Airport,35.81100082,-83.9940033,1.5
2013-11-09,SYR,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,3.5
2013-10-22,ILM,Wilmington International Airport,34.270599365234375,-77.90260314941406,2.2
2013-03-22,MCO,Orlando International Airport,28.429399490356445,-81.30899810791016,3.0
2013-03-26,RDU,Raleigh Durham International Airport,35.877601623535156,-78.7874984741211,2.9
2013-04-17,CLT,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,2.2
2013-10-03,MKE,General Mitchell International Airport,42.947200775146484,-87.89659881591797,2.9
2013-10-01,EWR,Newark Liberty International Airport,40.692501,-74.168701,2.5
2013-08-16,JFK,John F Kennedy International Airport,40.639801,-73.7789,3.0
2013-01-07,MSY,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,3.9
2013-10-23,JAX,Jacksonville International Airport,30.49410057067871,-81.68789672851562,3.4
2013-08-07,HOU,William P Hobby Airport,29.64539909,-95.27890015,3.9
2013-11-15,HOU,William P Hobby Airport,29.64539909,-95.27890015,2.6
2013-04-08,SLC,Salt Lake City International Airport,40.785749,-111.979746,6.1
2013-02-25,DTW,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,2.1
2013-11-22,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,4.9
2013-10-03,ROC,Greater Rochester International Airport,43.1189,-77.672401,1.7
2013-11-23,DAY,James M Cox Dayton International Airport,39.902400970458984,-84.21939849853516,5.4
2013-04-12,RSW,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,4.8
2013-01-31,BUR,Bob Hope Airport,34.197703,-118.356378,1.8
2013-02-16,PWM,Portland International Jetport,43.646198,-70.309303,3.6
2013-03-04,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,5.5
2013-02-22,EWR,Newark Liberty International Airport,40.692501,-74.168701,3.1
2013-06-02,SEA,Seattle Tacoma International Airport,47.449001,-122.308998,3.2
2013-06-17,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,1.2
2013-02-23,SRQ,Sarasota Bradenton International Airport,27.39539909362793,-82.55439758300781,4.9
2013-11-29,BUR,Bob Hope Airport,34.197703,-118.356378,1.7
2013-01-13,RSW,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,2.6
2013-02-02,MCI,Kansas City International Airport,39.2976,-94.713898,3.5
2013-11-11,MIA,Miami International Airport,25.79319953918457,-80.29060363769531,3.2
2013-04-20,CLT,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,2.3
2013-04-19,DSM,Des Moines International Airport,41.534,-93.663101,10.2
2013-12-04,SNA,John Wayne Airport-Orange County Airport,33.675701,-117.867996,2.1
2013-04-21,AUS,Austin Bergstrom International Airport,30.197535,-97.662015,3.0
2013-04-07,LAS,McCarran International Airport,36.08010101,-115.1520004,5.0
2013-10-10,MSN,Dane County Regional Truax Field,43.1399,-89.337502,2.4
2013-03-29,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,1.6
2013-03-09,EGE,Eagle County Regional Airport,39.64260101,-106.9179993,2.6
2013-11-06,JFK,John F Kennedy International Airport,40.639801,-73.7789,4.5
2013-04-11,EWR,Newark Liberty International Airport,40.692501,-74.168701,4.0
2013-01-07,BTV,Burlington International Airport,44.471900939899996,-73.15329742429999,3.0
2013-01-20,MDW,Chicago Midway International Airport,41.785999,-87.752403,5.9
2013-02-17,MSY,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,2.8
2013-12-29,DAY,James M Cox Dayton International Airport,39.902400970458984,-84.21939849853516,5.0
2013-02-02,IND,Indianapolis International Airport,39.7173,-86.294403,5.1
2013-03-26,CHS,Charleston International Airport,32.898602,-80.040497,5.0
2013-01-26,DSM,Des Moines International Airport,41.534,-93.663101,4.3
2013-11-02,MSY,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,4.2
2013-02-24,MHT,Manchester-Boston Regional Airport,42.932598,-71.435699,3.0
2013-04-06,MSN,Dane County Regional Truax Field,43.1399,-89.337502,5.3
